Date,Close,Open,High,Low
30/01/2015,0.30,0.31,0.35,0.30
31/01/2015,0.29,0.30,0.30,0.29
01/02/2015,0.29,0.29,0.29,0.29
02/02/2015,0.30,0.29,0.30,0.29
03/02/2015,0.33,0.30,0.36,0.30
04/02/2015,0.29,0.33,0.33,0.28
05/02/2015,0.28,0.29,0.37,0.27
06/02/2015,0.28,0.28,0.28,0.27
07/02/2015,0.28,0.28,0.28,0.28
08/02/2015,0.28,0.28,0.28,0.28
09/02/2015,0.28,0.28,0.28,0.28
10/02/2015,0.28,0.28,0.28,0.28
11/02/2015,0.28,0.28,0.28,0.28
12/02/2015,0.28,0.28,0.28,0.28
13/02/2015,0.28,0.28,0.28,0.28
14/02/2015,0.28,0.28,0.28,0.28
15/02/2015,0.28,0.28,0.28,0.28
16/02/2015,0.28,0.28,0.28,0.28
17/02/2015,0.10,0.52,0.52,0.01
18/02/2015,0.10,0.10,0.10,0.10
19/02/2015,0.26,0.10,0.35,0.09
20/02/2015,0.25,0.26,0.26,0.25
21/02/2015,0.25,0.25,0.25,0.25
22/02/2015,0.30,0.25,0.32,0.25
23/02/2015,0.35,0.30,0.35,0.30
24/02/2015,0.25,0.35,0.38,0.25
25/02/2015,0.25,0.25,0.25,0.25
26/02/2015,0.25,0.25,0.38,0.25
27/02/2015,0.25,0.25,0.25,0.25
28/02/2015,0.35,0.25,0.55,0.25
01/03/2015,0.35,0.35,0.35,0.35
02/03/2015,0.54,0.35,0.54,0.35
03/03/2015,0.50,0.54,0.54,0.35
04/03/2015,0.50,0.50,0.50,0.50
05/03/2015,0.26,0.50,0.50,0.26
06/03/2015,0.50,0.26,0.50,0.26
07/03/2015,0.50,0.50,0.50,0.50
08/03/2015,0.50,0.50,0.50,0.26
09/03/2015,0.25,0.50,0.54,0.25
10/03/2015,0.54,0.25,0.54,0.25
11/03/2015,0.26,0.54,0.84,0.26
12/03/2015,0.26,0.26,0.26,0.26
13/03/2015,0.80,0.26,0.81,0.26
14/03/2015,0.80,0.80,0.80,0.60
15/03/2015,0.80,0.80,0.80,0.60
16/03/2015,0.40,0.80,0.80,0.40
17/03/2015,0.40,0.40,0.40,0.40
18/03/2015,0.40,0.40,0.40,0.40
19/03/2015,0.40,0.40,0.40,0.40
20/03/2015,0.40,0.40,0.40,0.40
21/03/2015,1.00,0.40,1.00,0.40
22/03/2015,0.26,1.00,1.00,0.26
23/03/2015,0.26,0.26,0.26,0.26
